dataset,model,mean_metric,split,max_time,best,fit_time,inference_time,num_trials
credit-g,MLP,0.7625153660774231,4,3600,"{'dropout_rate': 0.1, 'hidden_size': 32, 'learning_rate': 0.0001932595962291233, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 1.7683854916192885e-05}",5.266012907028198,0.00050950050354,273.0
credit-g,MLP,0.7860845327377319,5,3600,"{'dropout_rate': 0.1, 'hidden_size': 512, 'learning_rate': 6.14229282885043e-05, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 1.801850814905346e-05}",1.6443219184875488,0.0041356086730957,235.0
diabetes,MLP,0.8206272721290588,1,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 0.000864868428535328, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.0013236753543440336}",4.571469306945801,0.0003566741943359,319.0
diabetes,MLP,0.8423917889595032,2,3600,"{'dropout_rate': 0.3, 'hidden_size': 64, 'learning_rate': 0.0006486331181630174, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.0001649822902990132}",4.653429985046387,0.0003471374511718,336.0
diabetes,MLP,0.850649356842041,3,3600,"{'dropout_rate': 0, 'hidden_size': 256, 'learning_rate': 0.00031140325188673144, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.009973961112176188}",4.842156171798706,0.0004818439483642,337.0
diabetes,MLP,0.8394241333007812,4,3600,"{'dropout_rate': 0, 'hidden_size': 128, 'learning_rate': 4.55508247007622e-05, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.0007477562027420827}",6.2718446254730225,0.0007884502410888,352.0
diabetes,MLP,0.8653198480606079,5,3600,"{'dropout_rate': 0.3, 'hidden_size': 32, 'learning_rate': 0.000571377727059662, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.000306138544347902}",4.11818790435791,0.0003166198730468,337.0
tic-tac-toe,MLP,0.9900187849998474,1,3600,"{'dropout_rate': 0, 'hidden_size': 128, 'learning_rate': 0.0002915661852723879, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.004908046489575481}",5.354959964752197,0.0005180835723876,268.0
tic-tac-toe,MLP,0.992363452911377,2,3600,"{'dropout_rate': 0.3, 'hidden_size': 16, 'learning_rate': 0.0005216192009304318, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.003138214641289435}",4.945089817047119,0.0003931522369384,326.0
tic-tac-toe,MLP,0.9989664554595948,3,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 0.002252471743060748, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 2.5865237903102804e-05}",4.933051109313965,0.0004398822784423,257.0
